security_id,issuer_id,effective_start,effective_end,verified_date,source
aios:bounded:sp500:a,aios:issuer:sec:0001090872,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001090872.json
aios:bounded:sp500:acgl,aios:issuer:sec:0000947484,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000947484.json
aios:bounded:sp500:afl,aios:issuer:sec:0000004977,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000004977.json
aios:bounded:sp500:aig,aios:issuer:sec:0000005272,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000005272.json
aios:bounded:sp500:aiz,aios:issuer:sec:0001267238,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001267238.json
aios:bounded:sp500:ajg,aios:issuer:sec:0000354190,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000354190.json
aios:bounded:sp500:all,aios:issuer:sec:0000899051,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000899051.json
aios:bounded:sp500:amcr,aios:issuer:sec:0001748790,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001748790.json
aios:bounded:sp500:amp,aios:issuer:sec:0000820027,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000820027.json
aios:bounded:sp500:aon,aios:issuer:sec:0000315293,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000315293.json
aios:bounded:sp500:apa,aios:issuer:sec:0001841666,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001841666.json
aios:bounded:sp500:aptv,aios:issuer:sec:0001521332,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001521332.json
aios:bounded:sp500:are,aios:issuer:sec:0001035443,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001035443.json
aios:bounded:sp500:ato,aios:issuer:sec:0000731802,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000731802.json
aios:bounded:sp500:avb,aios:issuer:sec:0000915912,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000915912.json
aios:bounded:sp500:avgo,aios:issuer:sec:0001730168,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001730168.json
aios:bounded:sp500:avy,aios:issuer:sec:0000008818,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000008818.json
aios:bounded:sp500:axon,aios:issuer:sec:0001069183,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0001069183.json
aios:bounded:sp500:axp,aios:issuer:sec:0000004962,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000004962.json
aios:bounded:sp500:azo,aios:issuer:sec:0000866787,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000866787.json
aios:bounded:sp500:ball,aios:issuer:sec:0000009389,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000009389.json
aios:bounded:sp500:bax,aios:issuer:sec:0000010456,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000010456.json
aios:bounded:sp500:bby,aios:issuer:sec:0000764478,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000764478.json
aios:bounded:sp500:bdx,aios:issuer:sec:0000010795,2023-08-01,2025-01-01,2026-07-17,https://data.sec.gov/submissions/CIK0000010795.json
