ticker,security_id,issuer_id,cik,sec_name,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
BEN,aios:bounded:sp500:ben,aios:issuer:sec:0000038777,0000038777,FRANKLIN RESOURCES INC,2023-08-01,2025-01-01,yfinance,BEN,358,2023-08-01,2024-12-31,69fb74a75ef523d5492e914fc17268269297224cd7116a860f4c0caae2ff78af,4746f8834a71994a3353e4a094d7a411ad90e6b46d7d9a1be511327a1073dca5,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000038777.json,https://query1.finance.yahoo.com/v8/finance/chart/BEN
BF.B,aios:bounded:sp500:bf.b,,,,2023-08-01,2025-01-01,yfinance,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-17,,
BG,aios:bounded:sp500:bg,,,,2023-08-01,2025-01-01,yfinance,,,,,,,rejected,SEC submissions filing history does not reach the window start,2026-07-17,,
BIIB,aios:bounded:sp500:biib,aios:issuer:sec:0000875045,0000875045,BIOGEN INC.,2023-08-01,2025-01-01,yfinance,BIIB,358,2023-08-01,2024-12-31,3aec04d9f0374bd71e47afbcc911337372ca6b620b3dfc82c03107e9480a6e41,5f533028adf23161ad278d4faf3d0068c8a8cde9bfc71a672ef59059d72096b7,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000875045.json,https://query1.finance.yahoo.com/v8/finance/chart/BIIB
BK,aios:bounded:sp500:bk,,,,2023-08-01,2025-01-01,yfinance,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-17,,
BKNG,aios:bounded:sp500:bkng,aios:issuer:sec:0001075531,0001075531,Booking Holdings Inc.,2023-08-01,2025-01-01,yfinance,BKNG,358,2023-08-01,2024-12-31,5eb4cc2bd1ff3828f17ed4b5ba1d1fe72c0ce06c234cc808a41c2b34ef143f60,5c7dde2de812f6c3b8a807ac5d8c50ee583493544c0dd78d6268fb101b6aec05,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001075531.json,https://query1.finance.yahoo.com/v8/finance/chart/BKNG
BKR,aios:bounded:sp500:bkr,aios:issuer:sec:0001701605,0001701605,Baker Hughes Co,2023-08-01,2025-01-01,yfinance,BKR,358,2023-08-01,2024-12-31,61acc696342aea5ffbf4aec79556656caa8b59fa68735a55379ff6a96503c179,f2992be3bfd5b138951777fdff54710bfbe0b1a547a49216076984c40fea72b0,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001701605.json,https://query1.finance.yahoo.com/v8/finance/chart/BKR
BLK,aios:bounded:sp500:blk,,,,2023-08-01,2025-01-01,yfinance,,,,,,,rejected,SEC submissions filing history does not reach the window start,2026-07-17,,
BMY,aios:bounded:sp500:bmy,aios:issuer:sec:0000014272,0000014272,BRISTOL MYERS SQUIBB CO,2023-08-01,2025-01-01,yfinance,BMY,358,2023-08-01,2024-12-31,41ed5275d315fbfb66c84b1f00db512e96707d7cccb20f3dc39bf5261c318fb4,074c9f3477bf1c3eeef82b07b5905373c78e5db2a469fa74efc15744ce51cff1,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000014272.json,https://query1.finance.yahoo.com/v8/finance/chart/BMY
BR,aios:bounded:sp500:br,aios:issuer:sec:0001383312,0001383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2023-08-01,2025-01-01,yfinance,BR,358,2023-08-01,2024-12-31,487454a3af74e688e6d277e9c0fde3d6e7968a2b4512dd930e7d33c67a15a757,0777839c190c524f583da0879c0b9adac352ed1e711ed90a06506f68cc84a5fb,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001383312.json,https://query1.finance.yahoo.com/v8/finance/chart/BR
