provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
yfinance,COO,aios:bounded:sp500:coo,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/COO
yfinance,COP,aios:bounded:sp500:cop,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/COP
yfinance,COST,aios:bounded:sp500:cost,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/COST
yfinance,CPB,aios:bounded:sp500:cpb,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CPB
yfinance,CPRT,aios:bounded:sp500:cprt,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CPRT
yfinance,CPT,aios:bounded:sp500:cpt,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CPT
yfinance,CRL,aios:bounded:sp500:crl,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CRL
yfinance,CRM,aios:bounded:sp500:crm,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CRM
yfinance,CSCO,aios:bounded:sp500:csco,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CSCO
yfinance,CSGP,aios:bounded:sp500:csgp,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CSGP
yfinance,CSX,aios:bounded:sp500:csx,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CSX
yfinance,CTAS,aios:bounded:sp500:ctas,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CTAS
yfinance,CTSH,aios:bounded:sp500:ctsh,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CTSH
yfinance,CTVA,aios:bounded:sp500:ctva,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CTVA
yfinance,CVS,aios:bounded:sp500:cvs,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CVS
yfinance,CVX,aios:bounded:sp500:cvx,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CVX
yfinance,CZR,aios:bounded:sp500:czr,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/CZR
yfinance,D,aios:bounded:sp500:d,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/D
yfinance,DAL,aios:bounded:sp500:dal,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/DAL
yfinance,DD,aios:bounded:sp500:dd,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/DD
yfinance,DE,aios:bounded:sp500:de,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/DE
yfinance,DG,aios:bounded:sp500:dg,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/DG
yfinance,DGX,aios:bounded:sp500:dgx,2023-08-01,2025-01-01,verified,2026-07-17,https://query1.finance.yahoo.com/v8/finance/chart/DGX
