ticker,security_id,issuer_id,cik,sec_name,sec_ticker,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,sec_history_sources,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
PGR,aios:bounded:sp500:pgr,aios:issuer:sec:0000080661,0000080661,PROGRESSIVE CORP/OH/,PGR,2023-08-01,2025-01-01,yfinance,PGR,358,2023-08-01,2024-12-31,ead089be1f4c6cbd000af8c5c5886c30c601da1b4bd04e7202d1cf7ca8c0365d,,673cc36c8d447d5b29e38d31ffb64e78f5df0eae1f89c297c919a81c40fd783e,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000080661.json,https://query1.finance.yahoo.com/v8/finance/chart/PGR
PH,aios:bounded:sp500:ph,aios:issuer:sec:0000076334,0000076334,Parker-Hannifin Corp,PH,2023-08-01,2025-01-01,yfinance,PH,358,2023-08-01,2024-12-31,d0d4f6ef9463a8a6b3eeb47aa6fa97c498967c7ecdf860f71dde18fcdac41f19,,5626cebe1a38434dede7bb979dd17c1822e232074c6a594bb78b41237a1affee,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000076334.json,https://query1.finance.yahoo.com/v8/finance/chart/PH
PHM,aios:bounded:sp500:phm,aios:issuer:sec:0000822416,0000822416,PULTEGROUP INC/MI/,PHM,2023-08-01,2025-01-01,yfinance,PHM,358,2023-08-01,2024-12-31,f12cea5041801fb732e3ad8d1e238cf6b2bfdebf853ba528043b98a9ceb4d226,,e491d15b24484d8cebc1880ceca9dfaaa2b5575684897cc2c894c9d1babbf071,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000822416.json,https://query1.finance.yahoo.com/v8/finance/chart/PHM
PKG,aios:bounded:sp500:pkg,aios:issuer:sec:0000075677,0000075677,PACKAGING CORP OF AMERICA,PKG,2023-08-01,2025-01-01,yfinance,PKG,358,2023-08-01,2024-12-31,4963ba321f054faffab998d5f66ab5e88a42d2c162229c21cdc826bde5720656,,67010003fb6bae4412b09f78c38e5bed5c9651f9ab697225b60498805b1a79c2,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000075677.json,https://query1.finance.yahoo.com/v8/finance/chart/PKG
PLD,aios:bounded:sp500:pld,aios:issuer:sec:0001045609,0001045609,"Prologis, Inc.",PLD,2023-08-01,2025-01-01,yfinance,PLD,358,2023-08-01,2024-12-31,b2af38c08edb33480f3daaf2b0381d4ecf0b38846442332b809594ae661a700e,,c3117a33e4f8e219718124d669654d6dd0f1707ae7156a85a9e44c66cbebbaf7,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001045609.json,https://query1.finance.yahoo.com/v8/finance/chart/PLD
PM,aios:bounded:sp500:pm,aios:issuer:sec:0001413329,0001413329,Philip Morris International Inc.,PM,2023-08-01,2025-01-01,yfinance,PM,358,2023-08-01,2024-12-31,3c9ea732fe55b5df17be556cdfcecaf1d9e9fbabd0bf766b135581b1fa34d739,,a4c5027fbac48aadf6cb5fd889d066c0107e57cc9533db23d48f3e84aa4de074,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001413329.json,https://query1.finance.yahoo.com/v8/finance/chart/PM
PNC,aios:bounded:sp500:pnc,aios:issuer:sec:0000713676,0000713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,2023-08-01,2025-01-01,yfinance,PNC,358,2023-08-01,2024-12-31,bceaa9e8f6634436548a9ab7d563bd1530047e99838630fcd99609ddb48b2339,,f6241e454294df14b20f21885d45a0ca4ca0eeda69acebf85100fcceec011c00,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000713676.json,https://query1.finance.yahoo.com/v8/finance/chart/PNC
PNR,aios:bounded:sp500:pnr,aios:issuer:sec:0000077360,0000077360,PENTAIR plc,PNR,2023-08-01,2025-01-01,yfinance,PNR,358,2023-08-01,2024-12-31,76948e9b8549213c83b98c8255bc23c865a31228d8df7ad8d5712849da381965,,9bb869ed72342aa5e6268f27069b9f7ec31ab2a7f5f5243981cd10386497f59a,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000077360.json,https://query1.finance.yahoo.com/v8/finance/chart/PNR
PNW,aios:bounded:sp500:pnw,aios:issuer:sec:0000764622,0000764622,PINNACLE WEST CAPITAL CORP,PNW,2023-08-01,2025-01-01,yfinance,PNW,358,2023-08-01,2024-12-31,a84e884e52229ba3beadf8e077cdf02187fce6a2406aedb03e37439696d624f7,,897003eabf6e939d7d7d1e6e8989c1036b6831695f6cd1c66b35bcf5e922751e,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000764622.json,https://query1.finance.yahoo.com/v8/finance/chart/PNW
PODD,aios:bounded:sp500:podd,aios:issuer:sec:0001145197,0001145197,INSULET CORP,PODD,2023-08-01,2025-01-01,yfinance,PODD,358,2023-08-01,2024-12-31,c191071c19f7a2a7ca6e0a1a5c83301aefd56301d4b2e1b2877e505f7b5ba2ba,,fd8471c464a79e01e1c3e368c701cc8f1d2d984c281b2a1cdb5d62d28cdba983,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001145197.json,https://query1.finance.yahoo.com/v8/finance/chart/PODD
