issuer_id,canonical_name,canonical_ticker,cik,effective_start,effective_end,verified_date,source
aios:issuer:sec:0001037038,RALPH LAUREN CORP,RL,0001037038,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001037038.json
aios:issuer:sec:0000943819,RESMED INC,RMD,0000943819,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000943819.json
aios:issuer:sec:0001024478,"ROCKWELL AUTOMATION, INC",ROK,0001024478,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001024478.json
aios:issuer:sec:0000084839,ROLLINS INC,ROL,0000084839,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000084839.json
aios:issuer:sec:0000882835,ROPER TECHNOLOGIES INC,ROP,0000882835,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000882835.json
aios:issuer:sec:0000745732,"ROSS STORES, INC.",ROST,0000745732,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000745732.json
aios:issuer:sec:0001060391,"REPUBLIC SERVICES, INC.",RSG,0001060391,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001060391.json
aios:issuer:sec:0000101829,RTX Corp,RTX,0000101829,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000101829.json
aios:issuer:sec:0000031791,"REVVITY, INC.",RVTY,0000031791,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000031791.json
aios:issuer:sec:0001034054,SBA COMMUNICATIONS CORP,SBAC,0001034054,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001034054.json
aios:issuer:sec:0000829224,STARBUCKS CORP,SBUX,0000829224,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000829224.json
aios:issuer:sec:0000316709,SCHWAB CHARLES CORP,SCHW,0000316709,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000316709.json
aios:issuer:sec:0000089800,SHERWIN WILLIAMS CO,SHW,0000089800,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000089800.json
aios:issuer:sec:0000091419,J M SMUCKER Co,SJM,0000091419,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000091419.json
aios:issuer:sec:0000087347,SLB LIMITED/NV,SLB,0000087347,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000087347.json
aios:issuer:sec:0000091440,Snap-on Inc,SNA,0000091440,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000091440.json
aios:issuer:sec:0000883241,SYNOPSYS INC,SNPS,0000883241,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000883241.json
aios:issuer:sec:0000092122,SOUTHERN CO,SO,0000092122,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000092122.json
aios:issuer:sec:0001063761,SIMON PROPERTY GROUP INC.,SPG,0001063761,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001063761.json
aios:issuer:sec:0000064040,S&P Global Inc.,SPGI,0000064040,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000064040.json
aios:issuer:sec:0001032208,SEMPRA,SRE,0001032208,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001032208.json
aios:issuer:sec:0001757898,STERIS plc,STE,0001757898,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001757898.json
aios:issuer:sec:0001022671,STEEL DYNAMICS INC,STLD,0001022671,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001022671.json
aios:issuer:sec:0000093751,STATE STREET CORP,STT,0000093751,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000093751.json
aios:issuer:sec:0001137789,Seagate Technology Holdings plc,STX,0001137789,2023-08-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001137789.json
