ticker,start,end
MCK,2025-01-01,2026-07-22
MCO,2025-01-01,2026-07-22
MDLZ,2025-01-01,2026-07-22
MDT,2025-01-01,2026-07-22
MET,2025-01-01,2026-07-22
META,2025-01-01,2026-07-22
MGM,2025-01-01,2026-07-22
MKC,2025-01-01,2026-07-22
MLM,2025-01-01,2026-07-22
MMM,2025-01-01,2026-07-22
MNST,2025-01-01,2026-07-22
MO,2025-01-01,2026-07-22
MOS,2025-01-01,2026-07-22
MPC,2025-01-01,2026-07-22
MPWR,2025-01-01,2026-07-22
MRK,2025-01-01,2026-07-22
MRNA,2025-01-01,2026-07-22
MRSH,2026-01-14,2026-07-22
MRVL,2026-06-22,2026-07-22
MS,2025-01-01,2026-07-22
MSCI,2025-01-01,2026-07-22
MSFT,2025-01-01,2026-07-22
MSI,2025-01-01,2026-07-22
MTB,2025-01-01,2026-07-22
MTD,2025-01-01,2026-07-22
