issuer_id,canonical_name,canonical_ticker,cik,effective_start,effective_end,verified_date,source
aios:issuer:sec:0001090872,"AGILENT TECHNOLOGIES, INC.",A,0001090872,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001090872.json
aios:issuer:sec:0000320193,Apple Inc.,AAPL,0000320193,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000320193.json
aios:issuer:sec:0001551152,AbbVie Inc.,ABBV,0001551152,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001551152.json
aios:issuer:sec:0001559720,"Airbnb, Inc.",ABNB,0001559720,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001559720.json
aios:issuer:sec:0000001800,ABBOTT LABORATORIES,ABT,0000001800,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000001800.json
aios:issuer:sec:0000947484,ARCH CAPITAL GROUP LTD.,ACGL,0000947484,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000947484.json
aios:issuer:sec:0001467373,Accenture plc,ACN,0001467373,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001467373.json
aios:issuer:sec:0000796343,ADOBE INC.,ADBE,0000796343,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000796343.json
aios:issuer:sec:0000006281,ANALOG DEVICES INC,ADI,0000006281,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000006281.json
aios:issuer:sec:0000007084,Archer-Daniels-Midland Co,ADM,0000007084,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000007084.json
aios:issuer:sec:0000008670,AUTOMATIC DATA PROCESSING INC,ADP,0000008670,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000008670.json
aios:issuer:sec:0000769397,"Autodesk, Inc.",ADSK,0000769397,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000769397.json
aios:issuer:sec:0001002910,AMEREN CORP,AEE,0001002910,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001002910.json
aios:issuer:sec:0000004904,AMERICAN ELECTRIC POWER CO INC,AEP,0000004904,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000004904.json
aios:issuer:sec:0000874761,AES CORP,AES,0000874761,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000874761.json
aios:issuer:sec:0000004977,AFLAC INC,AFL,0000004977,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000004977.json
aios:issuer:sec:0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,0000005272,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000005272.json
aios:issuer:sec:0001267238,"ASSURANT, INC.",AIZ,0001267238,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001267238.json
aios:issuer:sec:0000354190,Arthur J. Gallagher & Co.,AJG,0000354190,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000354190.json
aios:issuer:sec:0001086222,AKAMAI TECHNOLOGIES INC,AKAM,0001086222,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001086222.json
aios:issuer:sec:0000915913,ALBEMARLE CORP,ALB,0000915913,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000915913.json
aios:issuer:sec:0001097149,ALIGN TECHNOLOGY INC,ALGN,0001097149,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001097149.json
