provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
yfinance,A,aios:bounded:sp500:a,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/A
yfinance,AAPL,aios:bounded:sp500:aapl,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/AAPL
yfinance,ABBV,aios:bounded:sp500:abbv,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ABBV
yfinance,ABNB,aios:bounded:sp500:abnb,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ABNB
yfinance,ABT,aios:bounded:sp500:abt,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ABT
yfinance,ACGL,aios:bounded:sp500:acgl,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ACGL
yfinance,ACN,aios:bounded:sp500:acn,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ACN
yfinance,ADBE,aios:bounded:sp500:adbe,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ADBE
yfinance,ADI,aios:bounded:sp500:adi,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ADI
yfinance,ADM,aios:bounded:sp500:adm,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ADM
yfinance,ADP,aios:bounded:sp500:adp,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ADP
yfinance,ADSK,aios:bounded:sp500:adsk,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/ADSK
yfinance,AEE,aios:bounded:sp500:aee,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/AEE
yfinance,AEP,aios:bounded:sp500:aep,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/AEP
yfinance,AES,aios:bounded:sp500:aes,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/AES
yfinance,AFL,aios:bounded:sp500:afl,2025-01-01,2026-07-22,verified,2026-07-21,https://query1.finance.yahoo.com/v8/finance/chart/AFL
