security_id,issuer_id,effective_start,effective_end,verified_date,source
aios:bounded:sp500:a,aios:issuer:sec:0001090872,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001090872.json
aios:bounded:sp500:aapl,aios:issuer:sec:0000320193,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000320193.json
aios:bounded:sp500:abbv,aios:issuer:sec:0001551152,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001551152.json
aios:bounded:sp500:abnb,aios:issuer:sec:0001559720,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001559720.json
aios:bounded:sp500:abt,aios:issuer:sec:0000001800,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000001800.json
aios:bounded:sp500:acgl,aios:issuer:sec:0000947484,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000947484.json
aios:bounded:sp500:acn,aios:issuer:sec:0001467373,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001467373.json
aios:bounded:sp500:adbe,aios:issuer:sec:0000796343,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000796343.json
aios:bounded:sp500:adi,aios:issuer:sec:0000006281,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000006281.json
aios:bounded:sp500:adm,aios:issuer:sec:0000007084,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000007084.json
aios:bounded:sp500:adp,aios:issuer:sec:0000008670,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000008670.json
aios:bounded:sp500:adsk,aios:issuer:sec:0000769397,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000769397.json
aios:bounded:sp500:aee,aios:issuer:sec:0001002910,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001002910.json
aios:bounded:sp500:aep,aios:issuer:sec:0000004904,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000004904.json
aios:bounded:sp500:aes,aios:issuer:sec:0000874761,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000874761.json
aios:bounded:sp500:afl,aios:issuer:sec:0000004977,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000004977.json
