provider,provider_symbol,security_id,data_start,data_end,mapping_status,verified_date,source
yfinance,AAL,aios:bounded:sp500:aal,2023-08-01,2024-09-23,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/AAL
yfinance,AAP,aios:bounded:sp500:aap,2023-08-01,2023-08-25,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/AAP
yfinance,ABNB,aios:bounded:sp500:abnb,2023-09-18,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/ABNB
yfinance,ALK,aios:bounded:sp500:alk,2023-08-01,2023-12-18,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/ALK
yfinance,AMTM,aios:bounded:sp500:amtm,2024-09-30,2024-12-23,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/AMTM
yfinance,APO,aios:bounded:sp500:apo,2024-12-23,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/APO
yfinance,BBWI,aios:bounded:sp500:bbwi,2023-08-01,2024-10-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/BBWI
yfinance,BIO,aios:bounded:sp500:bio,2023-08-01,2024-09-23,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/BIO
yfinance,BLDR,aios:bounded:sp500:bldr,2023-12-18,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/BLDR
yfinance,BX,aios:bounded:sp500:bx,2023-09-18,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/BX
yfinance,CRWD,aios:bounded:sp500:crwd,2024-06-24,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/CRWD
yfinance,DECK,aios:bounded:sp500:deck,2024-03-18,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/DECK
yfinance,DELL,aios:bounded:sp500:dell,2024-09-23,2025-01-01,verified,2026-07-18,https://query1.finance.yahoo.com/v8/finance/chart/DELL
