ticker,security_id,issuer_id,cik,sec_name,sec_ticker,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,sec_history_sources,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
AAL,aios:bounded:sp500:aal,aios:issuer:sec:0000006201,0000006201,American Airlines Group Inc.,AAL,2023-08-01,2024-09-23,yfinance,AAL,288,2023-08-01,2024-09-20,e030b15eb83bea6cf76f3c335e7d222bd5378eb1a74e58a92e48fb38a6213565,,5991c39daf6241f7723e803382aa44238e7cb9ffe99f28749df5030c49d7e09e,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000006201.json,https://query1.finance.yahoo.com/v8/finance/chart/AAL
AAP,aios:bounded:sp500:aap,aios:issuer:sec:0001158449,0001158449,ADVANCE AUTO PARTS INC,AAP,2023-08-01,2023-08-25,yfinance,AAP,18,2023-08-01,2023-08-24,5754771ec74d46692b7d1e0ef9fef83dc2a339769754eac820a39c0b8e32fe27,,4b47effb136441d3a906a39ec7456d8ccced8806212de0ddd74a60e54f9725a6,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001158449.json,https://query1.finance.yahoo.com/v8/finance/chart/AAP
ABNB,aios:bounded:sp500:abnb,aios:issuer:sec:0001559720,0001559720,"Airbnb, Inc.",ABNB,2023-09-18,2025-01-01,yfinance,ABNB,325,2023-09-18,2024-12-31,4f89fbfa26cb7340979bd875f30d844be653e091a0ac5a6aee0f1b309b6bba55,,be7f3bab5ed1192b815dfbd23d84a9f4c9b1abcc9191c018a260088b0e87e6d6,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001559720.json,https://query1.finance.yahoo.com/v8/finance/chart/ABNB
ALK,aios:bounded:sp500:alk,aios:issuer:sec:0000766421,0000766421,"ALASKA AIR GROUP, INC.",ALK,2023-08-01,2023-12-18,yfinance,ALK,97,2023-08-01,2023-12-15,88c1130abd526188052a4fd389ae1b56b6021f65976bafa6c152ce4e3c2a4c11,,5c69abf5cbddf600212f8911eb23a8e10458887449d8c903b9f20a4f0b41ac9b,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000766421.json,https://query1.finance.yahoo.com/v8/finance/chart/ALK
AMTM,aios:bounded:sp500:amtm,aios:issuer:sec:0002011286,0002011286,"Amentum Holdings, Inc.",AMTM,2024-09-30,2024-12-23,yfinance,AMTM,59,2024-09-30,2024-12-20,d2800f7ce8f448123acdc367623d5f3cec470e25ee298ba20e62b2ffd17124e0,,0cb675a551957dc5f7a709d1c1c984f475f46999599a84704038b5838cc70714,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0002011286.json,https://query1.finance.yahoo.com/v8/finance/chart/AMTM
APO,aios:bounded:sp500:apo,aios:issuer:sec:0001858681,0001858681,"Apollo Global Management, Inc.",APO,2024-12-23,2025-01-01,yfinance,APO,6,2024-12-23,2024-12-31,6c5a6221227ad7a76c84ceb5c87d8c08d510905a069d767f08f29b762040379e,,43de82574a87081e6d999f401203bc77fd69b7ab34695393b5abbf4af46b7b15,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001858681.json,https://query1.finance.yahoo.com/v8/finance/chart/APO
ATVI,aios:bounded:sp500:atvi,,,,,2023-08-01,2023-10-18,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
BBWI,aios:bounded:sp500:bbwi,aios:issuer:sec:0000701985,0000701985,"Bath & Body Works, Inc.",BBWI,2023-08-01,2024-10-01,yfinance,BBWI,294,2023-08-01,2024-09-30,f5ff4e0560dd6c3eb07954cb59268c4cf715b59b9da08eb19aa1cc362db02406,,e60e02be006dbbbdac1ab05d97c30a4891c26ebd45c1df16e32b9a57da31ff8e,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000701985.json,https://query1.finance.yahoo.com/v8/finance/chart/BBWI
BIO,aios:bounded:sp500:bio,aios:issuer:sec:0000012208,0000012208,"BIO-RAD LABORATORIES, INC.",BIO,2023-08-01,2024-09-23,yfinance,BIO,288,2023-08-01,2024-09-20,e76fe87fda83bbdb69b3436bfb4ea769e56215bb70cd2db41a0e731c85664e06,,37d7074b159e09169072cdaf985a382c9bd8c693e6e9bfd6183cc089bc670bc2,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000012208.json,https://query1.finance.yahoo.com/v8/finance/chart/BIO
BLDR,aios:bounded:sp500:bldr,aios:issuer:sec:0001316835,0001316835,"Builders FirstSource, Inc.",BLDR,2023-12-18,2025-01-01,yfinance,BLDR,261,2023-12-18,2024-12-31,e98e1c3ed6bdbc639421bfb46fdf66bc533fbc75634157156d508e59690460a2,,d14121384b20d727cd634fab0285d14871b41bab0a142e3cfe01a41ea5198f5f,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001316835.json,https://query1.finance.yahoo.com/v8/finance/chart/BLDR
BX,aios:bounded:sp500:bx,aios:issuer:sec:0001393818,0001393818,Blackstone Inc.,BX,2023-09-18,2025-01-01,yfinance,BX,325,2023-09-18,2024-12-31,60c0b55378f57d87b3141a39a3544badece7d84f6bb8f3886b3e32c647bf5f39,,a77338af70c8d91cee6a2c68427301879d7b1e7dbc7bf7224fa4789953c891f5,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001393818.json,https://query1.finance.yahoo.com/v8/finance/chart/BX
CDAY,aios:security:dayforce-common,,,,,2023-08-01,2024-02-01,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
CMA,aios:bounded:sp500:cma,,,,,2023-08-01,2024-06-24,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
