security_id,issuer_id,effective_start,effective_end,verified_date,source
aios:bounded:sp500:aal,aios:issuer:sec:0000006201,2023-08-01,2024-09-23,2026-07-18,https://data.sec.gov/submissions/CIK0000006201.json
aios:bounded:sp500:aap,aios:issuer:sec:0001158449,2023-08-01,2023-08-25,2026-07-18,https://data.sec.gov/submissions/CIK0001158449.json
aios:bounded:sp500:abnb,aios:issuer:sec:0001559720,2023-09-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001559720.json
aios:bounded:sp500:alk,aios:issuer:sec:0000766421,2023-08-01,2023-12-18,2026-07-18,https://data.sec.gov/submissions/CIK0000766421.json
aios:bounded:sp500:amtm,aios:issuer:sec:0002011286,2024-09-30,2024-12-23,2026-07-18,https://data.sec.gov/submissions/CIK0002011286.json
aios:bounded:sp500:apo,aios:issuer:sec:0001858681,2024-12-23,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001858681.json
aios:bounded:sp500:bbwi,aios:issuer:sec:0000701985,2023-08-01,2024-10-01,2026-07-18,https://data.sec.gov/submissions/CIK0000701985.json
aios:bounded:sp500:bio,aios:issuer:sec:0000012208,2023-08-01,2024-09-23,2026-07-18,https://data.sec.gov/submissions/CIK0000012208.json
aios:bounded:sp500:bldr,aios:issuer:sec:0001316835,2023-12-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001316835.json
aios:bounded:sp500:bx,aios:issuer:sec:0001393818,2023-09-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001393818.json
aios:bounded:sp500:crwd,aios:issuer:sec:0001535527,2024-06-24,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001535527.json
aios:bounded:sp500:deck,aios:issuer:sec:0000910521,2024-03-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000910521.json
aios:bounded:sp500:dell,aios:issuer:sec:0001571996,2024-09-23,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001571996.json
aios:bounded:sp500:dxc,aios:issuer:sec:0001688568,2023-08-01,2023-10-03,2026-07-18,https://data.sec.gov/submissions/CIK0001688568.json
aios:bounded:sp500:erie,aios:issuer:sec:0000922621,2024-09-23,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000922621.json
aios:bounded:sp500:etsy,aios:issuer:sec:0001370637,2023-08-01,2024-09-23,2026-07-18,https://data.sec.gov/submissions/CIK0001370637.json
aios:bounded:sp500:gddy,aios:issuer:sec:0001609711,2024-06-24,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001609711.json
aios:bounded:sp500:gev,aios:issuer:sec:0001996810,2024-04-02,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001996810.json
aios:bounded:sp500:hubb,aios:issuer:sec:0000048898,2023-10-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000048898.json
aios:bounded:sp500:ilmn,aios:issuer:sec:0001110803,2023-08-01,2024-06-24,2026-07-18,https://data.sec.gov/submissions/CIK0001110803.json
aios:bounded:sp500:jbl,aios:issuer:sec:0000898293,2023-12-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0000898293.json
aios:bounded:sp500:kkr,aios:issuer:sec:0001404912,2024-06-24,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001404912.json
aios:bounded:sp500:kvue,aios:issuer:sec:0001944048,2023-08-25,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001944048.json
aios:bounded:sp500:lii,aios:issuer:sec:0001069202,2024-12-23,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001069202.json
aios:bounded:sp500:lnc,aios:issuer:sec:0000059558,2023-08-01,2023-09-18,2026-07-18,https://data.sec.gov/submissions/CIK0000059558.json
aios:bounded:sp500:lulu,aios:issuer:sec:0001397187,2023-10-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001397187.json
aios:bounded:sp500:nwl,aios:issuer:sec:0000814453,2023-08-01,2023-09-18,2026-07-18,https://data.sec.gov/submissions/CIK0000814453.json
aios:bounded:sp500:ogn,aios:issuer:sec:0001821825,2023-08-01,2023-10-18,2026-07-18,https://data.sec.gov/submissions/CIK0001821825.json
aios:bounded:sp500:pltr,aios:issuer:sec:0001321655,2024-09-23,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001321655.json
aios:bounded:sp500:qrvo,aios:issuer:sec:0001604778,2023-08-01,2024-12-23,2026-07-18,https://data.sec.gov/submissions/CIK0001604778.json
aios:bounded:sp500:rhi,aios:issuer:sec:0000315213,2023-08-01,2024-06-24,2026-07-18,https://data.sec.gov/submissions/CIK0000315213.json
aios:bounded:sp500:sedg,aios:issuer:sec:0001419612,2023-08-01,2023-12-18,2026-07-18,https://data.sec.gov/submissions/CIK0001419612.json
aios:bounded:sp500:smci,aios:issuer:sec:0001375365,2024-03-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001375365.json
aios:bounded:sp500:solv,aios:issuer:sec:0001964738,2024-04-01,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001964738.json
aios:bounded:sp500:tpl,aios:issuer:sec:0001811074,2024-11-26,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001811074.json
aios:bounded:sp500:uber,aios:issuer:sec:0001543151,2023-12-18,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001543151.json
aios:bounded:sp500:vfc,aios:issuer:sec:0000103379,2023-08-01,2024-04-03,2026-07-18,https://data.sec.gov/submissions/CIK0000103379.json
aios:bounded:sp500:vlto,aios:issuer:sec:0001967680,2023-10-02,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001967680.json
aios:bounded:sp500:vst,aios:issuer:sec:0001692819,2024-05-08,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001692819.json
aios:bounded:sp500:wday,aios:issuer:sec:0001327811,2024-12-23,2025-01-01,2026-07-18,https://data.sec.gov/submissions/CIK0001327811.json
aios:bounded:sp500:whr,aios:issuer:sec:0000106640,2023-08-01,2024-03-18,2026-07-18,https://data.sec.gov/submissions/CIK0000106640.json
aios:bounded:sp500:xray,aios:issuer:sec:0000818479,2023-08-01,2024-04-03,2026-07-18,https://data.sec.gov/submissions/CIK0000818479.json
aios:bounded:sp500:zion,aios:issuer:sec:0000109380,2023-08-01,2024-03-18,2026-07-18,https://data.sec.gov/submissions/CIK0000109380.json
