ticker,start,end
AAL,2023-08-01,2024-09-23
AAP,2023-08-01,2023-08-25
ABNB,2023-09-18,2025-01-01
ALK,2023-08-01,2023-12-18
AMTM,2024-09-30,2024-12-23
APO,2024-12-23,2025-01-01
ATVI,2023-08-01,2023-10-18
BBWI,2023-08-01,2024-10-01
BIO,2023-08-01,2024-09-23
BLDR,2023-12-18,2025-01-01
BX,2023-09-18,2025-01-01
CDAY,2023-08-01,2024-02-01
CMA,2023-08-01,2024-06-24
CRWD,2024-06-24,2025-01-01
CTLT,2023-08-01,2024-12-23
DAY,2024-02-01,2025-01-01
DECK,2024-03-18,2025-01-01
DELL,2024-09-23,2025-01-01
DXC,2023-08-01,2023-10-03
ERIE,2024-09-23,2025-01-01
ETSY,2023-08-01,2024-09-23
GDDY,2024-06-24,2025-01-01
GEV,2024-04-02,2025-01-01
HUBB,2023-10-18,2025-01-01
ILMN,2023-08-01,2024-06-24
JBL,2023-12-18,2025-01-01
KKR,2024-06-24,2025-01-01
KVUE,2023-08-25,2025-01-01
LII,2024-12-23,2025-01-01
LNC,2023-08-01,2023-09-18
LULU,2023-10-18,2025-01-01
MRO,2023-08-01,2024-11-26
NWL,2023-08-01,2023-09-18
OGN,2023-08-01,2023-10-18
PEAK,2023-08-01,2024-03-04
PLTR,2024-09-23,2025-01-01
PXD,2023-08-01,2024-05-08
QRVO,2023-08-01,2024-12-23
RHI,2023-08-01,2024-06-24
SEDG,2023-08-01,2023-12-18
SEE,2023-08-01,2023-12-18
SMCI,2024-03-18,2025-01-01
SOLV,2024-04-01,2025-01-01
TPL,2024-11-26,2025-01-01
UBER,2023-12-18,2025-01-01
VFC,2023-08-01,2024-04-03
VLTO,2023-10-02,2025-01-01
VST,2024-05-08,2025-01-01
WDAY,2024-12-23,2025-01-01
WHR,2023-08-01,2024-03-18
WRK,2023-08-01,2024-07-08
XRAY,2023-08-01,2024-04-03
ZION,2023-08-01,2024-03-18
